zh,eng,opus-mt,mbart50,m2m,opus-mt-sim,mbart50-sim,m2m-sim
病灶诱发试验,focus provocative test,It's a disease-induced experiment.,Pathogenic Induction Test,The disease provokes the test.,0.588934095,0.503605392,0.700072644
扁桃体表面脓肿,abscess of tonsillar face,The abscess on the surface of the tonsils.,Abdominal abscess,the surface of the body.,0.685572791,0.703915446,0.461232919
扁桃体隐窝栓塞物,tonsillar crypts embolism,It's a titanium intuitive embolism.,Pneumocystic thrombosis,The body is hidden.,0.135331317,0.58753404,-0.015582518
扁桃体瘤样突起,neoplastic hyperplasia of tonsil,A tonsil of tumors.,Pneumatic tumours,The tumor appears.,0.720144929,0.557814817,0.481549142
悬雍垂裂,staphyloschisis,The suspense is falling apart.,Suspended Cracking,The suspension broke.,0,0,0
两歧悬雍垂,uvula bifida,"I'm sorry, but I don't know what I'm talking about.",Two-sided hanging,Two disagreements.,-0.04636019,-0.015790462,-0.042993708
茎突过长,elongation of styloid process,It's too long.,Excessive stem length,The stone is long.,0.2292075,0.455567222,0.363184145
软腭瘫痪,paralysis of soft palate,Softly paralyzed.,Soft palate paralysis,softly paralyzed.,0.517884116,0.961983304,0.517884116
咽部检查,pharyngeal portion examining,Check the throat.,pharyngeal examination,The throat check.,0.382544934,0.79090286,0.382544932
咽反射,pharynx reflex,Swallow reflection,Respiratory reflex,Reflections,0.334356635,0.773984188,0.090209272
咽淋巴环,pharyngeal lymphatic ring,lymph lymph rings,Lymphocyte ring,Toughened Lymph Ring,0.747323468,0.646751676,0.734891182
激发性咽痛,provocative sore-throat,Excitement of sexual abstinence.,Stimulative pharyngitis,Stimulating throat pain.,0.474962013,0.224789395,0.785399958
咽血性分泌物,hemic secretion of pharyneal portion,Hemorrhage.,Pharyngeal secretions,Blood secretions.,0.369395715,0.516583631,0.632843637
咽部溃疡,pharyngeal portion ulcer,Throat ulcer.,Ulcerative ulcer,The throat wound.,0.645185324,0.668283268,0.466583941
咽部角化物,keratosic substance of pharyngeal portion,Angular oscillators,pharyngeal angioides,The throat corner.,0.255893682,0.573457216,0.487644114
咽部异物,pharyngeal foreign body,It's a strange thing to swallow.,Pharyngeal heterogeneity,Strangers in the throat.,0.393905624,0.188012651,0.492554024
咽部潴留囊肿,pharyngeal portion retention cyst,The cysts of the stomach are swollen.,Pseudopharyngeal cysts,The throat remains.,0.562132128,0.584024198,0.440204369
咽部搏动性隆起,pulsation projection of pharyngeal portion,♪ The thumping of the thumps rises ♪,Pulmonary elevation of the pharynx,The throat moves up.,0.337543011,0.714097374,0.420628139
咽部乳头状肿物,pharyngeal portion papilloma,Head swollen in the stomach.,Lacrimal swelling of the pharynx,The throat breast tumor.,0.293280239,0.58782443,0.45680395
奋森咽峡炎,Vincent angina,Esmeraltomy inflammation.,Dysenteric thrombosis,Toughened Laminated Safety,0.288766379,0.492744025,0.026681952
溃疡膜性咽炎,ulceromembranous angina,ulcer ulcer inflammation.,Ulcerative membranous pharyngitis,ulcerative throat.,0.545619334,0.507352064,0.424506839
咽侧壁局部隆起,lateral wall of pharynx local eminence,♪ On the side wall of the swallow ♪ ♪ On the side of the wall ♪,Local elevation of the pharyngeal side wall,The side wall is localized.,0.573099609,0.86443863,0.712007721
咽后壁淋巴滤泡增生,retropharyngeal folliculosis,lymphoid lymphoric blubber growth on the back of the swallow,Postpharyngeal lymphatic filter bubble proliferation,The back wall of the lymphatic filter increases.,0,0,0
咽侧炎,lateral pharyngitis,Diarrhea,Pancreatitis,The throat.,0.417820587,0.396995377,0.274829291
肥厚性咽炎,hypertrophic pharyngitis,Fat inflammation.,Fatty pharyngitis,fertilized throat.,0.308642538,0.712481816,0.20977112
李格病,Legal disease,Leger's sick.,Ligue disease,Lee is sick.,0.410495798,0.543204283,0.490449664
咽后壁隆起,retropharynx projection,♪ The back of the swallow rises on the wall ♪,Respiratory wall elevation,The walls rise.,0.251877763,0.361176826,0.31822716
咽后壁幕布样下垂,retropharynx wall tentorium ptosis,♪ Swallow the curtains down ♪,Rear wall curtain cloth hanging down,Closing the walls down.,0.249411335,0.468109244,0.354672803
依撒搏特病,Isambert disease,Isabolt's disease.,Issabat's disease,Isaac is sick.,0.795991281,0.869943428,0.370706722
巴姆咳,Balme cough,Bam cough.,Bamcoe,The Bambus,0.722233575,0,0.134977858
鼻咽部副耳,nasopharyngeal accessory ear,The ear of the nose and the throat.,Nasopharyngeal subocular,Nose orphanage.,0.474925407,0,0.316775333
鼻咽狭窄,stenosis of nasopharynx,Sniffs are narrow.,Nasopharyngeal stenosis,The nose is narrow.,0.224073078,0.80753164,0.322059513
鼻咽部结节状肿块,nasopharyngeal nodular tumor,Sniff swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen,Nose-pharyngeal conjunctivitis,The nasal throat.,0.341210162,0.473935719,0.333166835
鼻咽部肿块,nasopharyngeal tumor,A swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen,Nasopharyngeal swelling,The nasal tumor.,0.294077989,0.388905053,0.663774117
鼻咽部正中囊性肿块,cyst of nasopharynx,It's a cystic swollen in the snort.,Middle cystic swelling of the nasal pharynx,The nasal throat is in the middle of cystic tumors.,0.465256668,0.77899307,0.665203576
咽囊炎,pharyngeal bursitis,Osteoporosis.,Pneumocystitis,The throat.,0.31968641,0,0.175604992
桑沃地病,Thornwaldt disease,Sanvody's disease.,Sanford disease,Sanctuary Disease,0.795991281,0.76388289,0.791173046
鼻咽部侧壁囊性隆起,nasopharynx lateral wall cystic projection,The side of the nasal swollen.,Cystic upwelling of the lateral wall of the nasal pharynx,The hidden neck side walls.,0.540863315,0.803495182,0.526408181
舌根部半圆形隆起,hemispherical projection of root of tougue,Half-circle rises at the root of your tongue.,Semicircular rise of tongue root,The tongue is half-circular.,0.640202383,0.748781213,0.566951446
舌根部颗粒状突起,root of tongue granular process,The pellets of the root of the tongue rise.,Particulate tumours at the tip of tongue,Particles in the tongue appear.,0.800974981,0.728829586,0.730047158
咽鼓管咽口颗粒状突起,pharyngeal opening of auditory granular process,Pills in the mouth of the drums.,Pneumocopharyngeal particle protrusion,The throat of the throat particle shaped.,0.52406739,0.515590188,0.62055719
假性颈僵直,pseudorigidity of cervical part,Fake neck stiffness.,False neck stiffness,The false neck.,0.492145738,0.481711161,0.582230299
颈侧气囊性隆起,lateral cervical region air-pocket projection,♪ Neck-side airbag rises ♪,Neck inflammatory eruption,The neck side of the air.,0.506960739,0.498854239,0.686988583
呕吐膜性管状物,membranaceous canal of vomit,Vomiting membrane tubes,Vomiting membrane tube,The vomiting membrane.,0.547655885,0.572013297,0.644085889
喉,larynx,Throat.,Larynx,The throat,0.361568269,1.000000004,0.417537417
声带,vocal fold,Tape,Audio tape,The Belt,0.283716141,0.356582135,0.376782835
发音,phonation,Pronunciation,pronunciation,pronunciation,0.248967727,0.248967727,0.248967727
声带长度,vocal fold length,Tape Length,Band length,The sound band length.,0.662951192,0.744801302,0.7129515
电子动态喉镜,electrolaryngostroboscope,Electronic dynamic throat lenses,Electronic dynamic throat mirror,Electronic Dynamic Glasses,0,0,0
间接喉镜检查法,indirect laryngoscopy,Indirect larynx screening method,Intermediate laryngeal examination,Indirect screening of the throat.,0.647827998,0.319595373,0.534217111
直接喉镜检查法,direct laryngoscopy,Direct larynx.,Direct laryngeal examination,Direct screening of the throat,0.634609984,0.577900927,0.625405638
纤维喉镜检查法,fibrolaryngoscope examination,Fibre and throat mirrors.,Fiber Laryngeal Surgery,Fiber neck screening.,0.322633598,0.374508428,0.401488723
喉动态镜检查,stroboscopy,Laryngeal mirror check.,Laryngeal dynamics examination,The dynamic mirror check.,0,0,0
功能性失音,functional aphonia,Functional loss of sound,Functional deafness,Functional noise.,0.666449013,0.719264405,0.693896745
失音症,aphonia,He's not soundy.,Deafness,Depression of sound,0,0,0
发音不能,aphonia,Can't pronounce it.,No pronunciation,No pronunciation.,0,0,0
贝赫尔-阿迪征,Behier-hardy sign,Bahel-Adish,Battle of Beihr-Adi,The Bayer-Adi,0.570525107,0.462772438,0.388450454
构音困难,dysarthria,Sound difficulties,Structural difficulty,Difficulty of sound,0.169921955,0.195634879,0.099957012
发音障碍,pararthria,Pronunciation disorder,Speech disorder,Disorders of pronunciation.,0,0,0
声音嘶哑,hoarseness,The voice is mute.,Hearse,The sound is silent.,0.097432398,0.042024739,0.023785512
发声障碍,vocalization disturbance,Sound impairment,Speech disorder,Disruption of voice.,0.521679484,0.469632015,0.39177361
声嘶,hoarseness,Loud.,Hail,The sound.,0.10045454,0.058329372,0.009646267
赛蒙征,Semon sign,Simon.,Simon Expedition,by Simon,0.103500227,0.094456392,0.114162079
声带活动受限,vocal fold mobility limitation,The tape is restricted.,Acoustic Activity Limitation,Soundbands are limited.,0.536520916,0.671161413,0.501994134
声带变位,metachoresis of vocal fold,Tape Variation,Audio tape transformer,Change of sound.,0.488439271,0.342024174,0.657227768
声带突溃疡,vocal process ulcer,Voice tape ulcer.,Tongue ulcer,The sound band collapses.,0.700934789,0.666289212,0.526401244
声带黏膜下出血,vocal fold submucous bleeding,Hemorrhaging under the taped mucous membrane.,Bleeding under the acoustic mucosa,Blooding under the sound band.,0.582174115,0.713838531,0.495982629
声带结节状突起,vocal fold nodular projection,The sonic knots are strangling.,Acoustic band junction,The sound belt stands up.,0.365513689,0.44956766,0.394676797
声带半透明样肿物,vocal fold translucent tumor,It's a half-transparent swollen tape.,Semitransparent band-shaped swelling,Half Transparent Sound Belt,0.54326384,0.591320217,0.581343026
声带突结节状隆起,vocal process nodular projection,♪ The stammers of the knots rise ♪,Acoustic conjunctivitis,The sound bands rise.,0.334617172,0.477454964,0.446301721
一侧喉震颤感消失,one laryngeal pallanesthesia,Throat tremors on one side are gone.,One side of the throat tremor disappeared,One side of the throat is gone.,0.457505288,0.53608795,0.463740836
会厌,epiglottis,I'm sick of it.,Resentment,will hate.,-0.098919655,0.030778709,-0.154779125
会厌残缺,epiglottis incomplete,I'm bored.,Bored of Disabilities,It will be deficient.,0.017215333,0.062696502,0.199693144
会厌肿厚,epiglottis tumefaction,It'll get thick.,Obesity,It will be narrow.,-0.071442481,0.046924069,-0.041857157
会厌分叉,bifid epiglottis,I'm tired of the fork.,Anxious to divide forks,I will hate split.,-0.144861636,0.022023335,-0.149187754
会厌两裂,bivalve epiglottis,I'm tired of cracking.,I'm tired of splitting,I hate to break.,-0.107275043,-0.09528542,-0.138940101
声门下紫红色肿物,subglottic violet red tumor,It's a purple red swollen under the door.,Purple-red swelling under the voice door,Blue red tumors under the door.,0.60193103,0.647173927,0.736043159
喉部黏膜肥厚,laryngeal mucosa pachynsis,Throat membranes are thick.,Thickness of throat mucosa,The throat is thick.,0.349733479,0.667220744,0.177038853
喉黏膜充血,laryngeal mucosa hyperemia,Throat mucous membrane filled with blood.,Laryngeal mucosa bleeding,The throat blurred.,0.458123284,0.930605672,0.252690767
喉部黏膜水肿,laryngeal mucosa hydrops,Throat mucus swollen.,Laryngeal mucosa edema,The throat of water.,0.456690089,0.944849492,0.131728254
喉部黏膜干燥,laryngeal mucosa dry,Throat mucus dry.,Drying of throat mucosa,The throat is dry.,0.643763443,0.803524681,0.454318516
喉部黏膜白斑,laryngeal leukoplakia,Throat mucus white spot.,Laryngeal mucosa white spot,White spots of the throat,0.207294942,0.663306157,0.091356618
喉部黏膜溃疡,laryngeal mucosa ulcer,Throat mucus ulcer.,Laryngeal mucosa ulcer,throat clay ulcers.,0.692363806,0.99999997,0.551402669
喉部角化物,laryngeal keratosis,Throat antlers.,Angularization of the throat,The throat corner.,0.169229421,0.087340885,0.028663494
喉部异物,laryngeal foreign body,It's a larynx.,Laryngeal abnormality,Strangers in the throat.,0.542952077,0.627891379,0.487277219
喉蹼,laryngeal web,Throat.,Larynx,The throat.,0.30437487,0.565892481,0.315605455
喉隔,larynx diaphragma,Throat line.,Diaphragm,The throat,0.280080955,0.487360668,0.417537417
喉裂,laryngeal cleft,Throat crack.,Larynx fracture,the throat.,0.218216621,0.685612064,0.231264871
喉室突出物,ventricle of larynx protuberance,The larynx.,Laryngeal protrusion,The throat outstanding.,0.64951624,0.76709589,0.300918762
喉体膨大,laryngeal body enlargement,Throat swelling.,Expansion of the throat,The throat is big.,0.566612105,0.480719029,0.39733544
喉痉挛,laryngeal spasm,Throat spasms.,Laryngeal spasm,The throat.,0.599711745,1.000000095,0.273621928
麦拉耳病,Millar disease,Malla's ear disease.,Malaria,disease of malaria.,0.481897822,0.474014967,0.577968655
喉喘鸣,laryngeal stridor,Throat gasping.,Asthma,The throat.,0.220337584,0.353183449,0.134022481
喉部感觉缺失,laryngeal anesthesia,The larynx doesn't feel good.,Loss of throat sensation,The throat feels missing.,0.250119898,0.341397714,0.178675891
喉下垂,laryngoptosis,Throat down.,Larynx drainage,under the throat.,0,0,0
喉狭窄,laryngostenosis,Throat's narrow.,Laryngeal stenosis,The neck is narrow.,0,0,0
喉狭窄的分期,stage of laryngostenosis,A narrow-throat phase.,Laryngeal stenosis,The narrow throat period.,0.585965118,0.12462049,0.60056188
喉气管狭窄的分期,stage of laryngotracheal stenosis,A narrow chromatography of the larynx.,Laryngeal bronchial stenosis,The narrow throat period.,0.63276193,0.62656992,0.524751574
喉部囊性包块,laryngeal cystic inclusion,Throat cysts.,Laryngeal cystic block,The throat box.,0.50031597,0.870273353,0.228859018
喉部异物拍击声,laryngeal foreign body snap,The larynx slamming.,Throbbing of foreign objects in the throat,A stranger shooting in the throat.,0.633201986,0.668141642,0.552343539
喉乳头状肿物,laryngeal mammilliform tumor,Throat titular swollen.,Laryngeal lacrimal swelling,The throat swelling.,0.334301317,0.779878224,0.39131988
喉部小水疱,laryngeal little blister,A larynx.,Laryngeal blisters,Little water in the throat.,0.555666634,0.82503274,0.448658132
牙齿透照法,tooth transillumination,Tooth dialysis.,Dental fluorescence,The Teeth Law.,0.72845559,0.519978013,0.569124196
选择性麻醉检查法,selective anesthesia examination,Selective Anaesthetic Screening Act,Selective Anesthesia Inspection,Selective Anesthesia Testing,0.800960283,0.900128038,0.895023479
口腔穿刺法,mouth puncture,Oral puncture.,Oral puncture,Method of mouth breaking.,0.744788003,0.770638875,0.590135088
热试法,heat test,Thermal Test Method,Thermal testing,The heat test.,0.799242187,0.796511602,0.899562778
冷试法,cold test,Cold Test Method,Cold test,Cold Testing,0.904456449,1.00000005,0.942107545
